timestamp,Altiva Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Hybrid Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,Qsif Equity Long-Short Fund,RedHex Hybrid Long-Short Fund,Titanium Hybrid Long-Short Fund,Altiva Equity Ex-Top 100 Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Equity Long-Short Fund,iSIF Equity Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Titanium Equity Long-Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,Qsif Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Hybrid Long-Short Fund,Arudha Equity Long-Short Fund,Apex Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,WSIF Equity Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,Sapphire Equity Long-Short SIF,Qsif Sector Rotation Long-Short Fund,Platinum Hybrid Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,Infinity Hybrid Long-Short Fund
2026-03-12 00:00:00+00:00,10.2897,10.091,9.42,9.5322,,9.3727,,9.7545,,959.6419,9.8928,,8.9871,,,9.8738,,10.079,,,,,,,,,,
2026-03-13 00:00:00+00:00,10.2515,10.0671,9.28,9.3738,,9.2803,,9.6332,,960.9396,9.7797,,8.8657,,,9.8425,,10.081,,,,,,,,,,
2026-03-16 00:00:00+00:00,10.2597,10.0681,9.29,9.4448,,9.321,,9.6697,,961.0704,9.7819,,8.8703,,,9.851,,10.08,,,,,,,,,,
2026-03-17 00:00:00+00:00,10.2946,10.0715,9.33,9.5121,,9.3453,,9.7216,,961.5486,9.8304,,8.9191,,,9.8634,,10.08,,,,,,,,,,
2026-03-18 00:00:00+00:00,10.3396,10.0913,9.45,9.616,,9.4304,,9.7837,,960.5362,9.8877,,9.0407,,,9.9308,,10.088,,,,,,,,,,
2026-03-19 00:00:00+00:00,10.2616,10.0433,9.24,9.4037,,9.2014,,9.6106,,950.1476,9.7528,,8.8205,,,9.8354,,,,,,,,,,,,
2026-03-20 00:00:00+00:00,10.2834,10.0625,9.27,9.4339,,9.2257,,9.6245,,952.5235,9.79,,8.8836,,,9.8637,,10.087,,,,,,,,,,
2026-03-23 00:00:00+00:00,10.1833,10.0206,9.04,9.2346,,8.9649,,9.4448,,952.3612,9.6261,,8.6254,,,9.7807,,10.08,,,,,,,,,,
2026-03-24 00:00:00+00:00,10.2538,10.0482,9.19,9.3801,,9.1091,,9.5452,,952.3797,9.7204,,8.7637,,,9.8751,,10.076,,,,,,,,,,
2026-03-25 00:00:00+00:00,10.3021,10.0906,9.34,9.5203,,9.227,,9.667,,953.7149,9.8219,,8.8931,,,9.9185,,10.08,,,,,,,,,,
2026-03-27 00:00:00+00:00,10.267,10.0434,9.2,9.3636,,9.1115,,9.5417,,950.7078,9.6953,,8.7664,,,9.8869,,10.083,,,,,,,,,,
2026-03-30 00:00:00+00:00,10.2206,9.9939,9.02,9.2301,,8.9276,,9.41,,948.4589,9.568,,8.608,,10.0209,9.846,,10.09,9.826,10.02,,,,,,,,
2026-03-31 00:00:00+00:00,10.2214,9.9944,9.02,9.2304,,8.9277,,9.4106,,948.4515,9.5681,,8.6082,,10.0217,9.8465,,10.091,9.827,10.02,,,,,,,,
2026-04-01 00:00:00+00:00,10.2967,10.012,9.18,9.3867,,9.1001,,9.5111,,946.0671,9.659,,8.7933,,,9.9227,,,9.89,10.02,,,,,,,,
2026-04-02 00:00:00+00:00,10.2822,10.0096,9.2,9.3745,,9.0718,,9.5246,,948.4573,9.6301,,8.7758,,10.0095,9.9268,,10.087,9.902,10.02,,,,,,,,
2026-04-06 00:00:00+00:00,10.3174,10.018,9.28,9.4754,,9.1473,,9.5813,,948.8272,9.718,,8.8418,,10.0362,9.9607,,10.083,9.959,10.03,,,,,,,,
2026-04-07 00:00:00+00:00,10.337,10.0373,9.31,9.4903,,9.1817,,9.6077,,953.1011,9.7367,,8.8854,,10.0382,10.0014,,10.092,10.008,10.03,,,,,,,,
2026-04-08 00:00:00+00:00,10.4331,10.1163,9.57,9.8044,,9.458,,9.8251,,962.5652,9.9497,,9.1157,,10.1056,10.1019,,10.108,10.151,10.05,,,,,,,,
2026-04-09 00:00:00+00:00,10.4331,10.1101,9.54,9.7654,,9.4499,,9.8012,,956.3039,9.9406,,9.1105,,10.0862,10.1571,,10.113,10.133,10.05,,,,,,,,
2026-04-10 00:00:00+00:00,10.4535,10.1425,9.64,9.88,,9.6045,,9.8828,,959.5018,10.0383,,9.2789,,10.1062,10.2678,,10.125,10.17,10.05,,,,,,,,
2026-04-13 00:00:00+00:00,10.4529,10.1308,9.61,9.8193,,9.5594,,9.8626,,957.4157,9.9589,,9.2645,,10.065,10.2623,,10.126,10.158,10.06,,,,,,,,
2026-04-15 00:00:00+00:00,10.4809,10.1722,9.76,9.9634,,9.629,,9.9618,,963.9841,10.1412,,9.444,,10.1318,10.2629,,10.143,10.253,10.08,,,,,,,,
2026-04-16 00:00:00+00:00,10.4858,10.1668,9.81,9.9784,,9.6915,,9.9613,,961.6001,10.2105,,9.5526,,10.1522,10.3033,,10.145,10.247,10.08,,,,,,,,
2026-04-17 00:00:00+00:00,10.4972,10.185,9.89,10.0429,,9.782,,9.982,,963.1395,10.3176,,9.6333,,,10.3445,,10.144,10.271,10.08,,,,,,,,
2026-04-20 00:00:00+00:00,10.5072,10.1967,9.89,10.0693,,9.7865,,9.9863,,962.667,10.3096,,9.6206,,10.1871,10.3573,,10.153,10.284,10.08,,,,,,,,
2026-04-21 00:00:00+00:00,10.5192,10.2014,9.95,10.1313,,9.8909,,10.0235,,966.381,10.3677,,9.7128,,10.2068,10.3879,,10.151,10.315,10.09,,,,,,,,
2026-04-22 00:00:00+00:00,10.5306,10.197,9.95,10.1075,,10.0188,,10.0119,,958.7452,10.3606,,9.8343,,10.1934,10.4287,,10.15,10.242,10.08,,,,,,,,
2026-04-23 00:00:00+00:00,10.5179,10.1915,9.89,10.007,,9.9686,,9.9773,,953.7096,10.2705,,9.7827,,10.172,10.4007,,10.143,10.197,10.08,,,,,,,,
2026-04-24 00:00:00+00:00,10.5037,10.1752,9.8,9.938,,9.9839,,9.9283,,951.2661,10.2111,,9.7293,,10.1525,10.3712,,10.135,10.12,10.06,10.011,,,,,,,
2026-04-27 00:00:00+00:00,10.5434,10.2038,9.88,9.9972,,10.0967,,10.0041,,954.2488,10.2854,,9.8694,,10.1789,10.438,,10.14,10.196,10.07,10.0146,,,,,,,
2026-04-28 00:00:00+00:00,10.546,10.2102,9.86,9.9504,,10.1369,,9.9831,,957.0597,10.304,,9.9221,,10.1615,10.4904,,10.135,10.176,10.07,10.0103,,,,,,,
2026-04-29 00:00:00+00:00,10.5622,10.233,9.88,9.9781,,10.1207,,9.9833,,958.3725,10.3167,,9.8919,,10.162,10.513,,10.133,10.191,10.08,10.0346,,,1000.0,,,,
2026-04-30 00:00:00+00:00,10.5455,10.2218,9.82,9.9185,,10.1492,,9.9291,,955.1524,10.199,,9.9324,,10.1242,10.5297,,10.129,10.163,10.06,10.0072,,,,,,,
2026-05-04 00:00:00+00:00,10.5658,10.234,9.87,9.9586,,10.2388,,9.9722,,954.96,10.2223,,10.0169,,10.1186,10.6079,,10.138,10.202,10.08,10.0309,,,997.5808,,,,
2026-05-05 00:00:00+00:00,10.572,10.2316,9.88,9.9501,,10.2321,,9.9574,,952.5186,10.2703,,10.0327,,10.1271,10.5913,,10.139,10.214,10.08,10.0231,,,998.3543,,,,
